@relation non_verbal_tourist_data-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-N-R3-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-R1

@attribute sex numeric
@attribute age numeric
@attribute country {germany,uruguay,spain,england,russia,polish,canada,chile,scotland,italy,argentina,colombia,cuba,mexico,hungary,brasil}
@attribute returning {0,1}
@attribute GImg1 {0,2,1}
@attribute GImg2 {0,1,2}
@attribute GImg3 {0,1,2,''}
@attribute PImg1 {2,1}
@attribute PImg2 {2}
@attribute PImg3 {0,1,2}
@attribute PImg4 {0,1,2}
@attribute PImg5 {0,1}
@attribute 'Tense - relaxed' numeric
@attribute 'Authoritative -anarchic' numeric
@attribute 'Hostile - friendly' numeric
@attribute TAudio1 {C,A,B,D}
@attribute TAudio2 {1,0}
@attribute TAudio3 {0,1,2}
@attribute QAudio1 {1,2,0}
@attribute QAudio2 {0,1,2}
@attribute QAudio3 {0,1,2}
@attribute Proxemics {0,1,2}
@attribute 'Type of Client' {4,0,5,3,2,1}

@data
0,38,germany,0,0,0,0,2,2,0,0,0,3,3,2,C,1,0,1,0,0,0,4
0,39,germany,0,0,0,'',2,2,0,0,0,5,4,4,C,0,0,1,0,0,0,5
0,67,canada,1,2,2,2,2,2,2,0,0,1,6,1,B,1,1,2,0,0,1,2
0,65,canada,0,2,2,2,2,2,2,2,0,1,6,1,B,1,0,2,0,0,0,2
0,46,england,1,2,2,2,2,2,1,2,0,1,1,1,B,0,1,2,0,1,0,2
0,43,canada,0,2,0,0,2,2,1,1,0,3,2,1,C,0,0,2,0,1,0,0
0,48,scotland,1,2,2,1,2,2,2,2,0,5,10,1,B,0,0,2,0,0,0,2
0,53,england,1,2,1,1,2,2,2,0,0,2,4,1,B,0,0,2,0,1,0,3
0,53,england,1,2,1,1,2,2,2,2,0,1,1,1,B,0,0,2,0,0,0,3
0,26,italy,1,2,2,1,2,2,2,2,0,2,4,2,B,0,0,2,0,1,0,3
0,78,england,1,2,2,2,2,2,2,2,1,1,3,2,A,0,1,2,0,2,1,2
0,37,england,1,2,2,2,2,2,2,2,0,1,2,1,A,0,1,2,0,1,0,2
0,55,canada,1,2,1,2,2,2,2,2,0,2,4,5,B,0,0,2,0,0,0,2
0,61,polish,1,2,2,2,2,2,2,2,0,1,10,2,B,0,0,2,0,0,0,2
0,49,canada,1,2,2,2,2,2,2,2,0,1,9,1,A,0,0,2,0,0,0,2
0,76,england,1,2,2,2,2,2,2,2,0,1,6,1,B,0,1,2,0,0,0,2
0,42,england,1,2,2,2,2,2,2,2,0,1,5,3,A,0,1,2,0,0,0,2
0,71,england,1,2,2,2,2,2,2,2,0,1,2,2,A,0,1,2,0,0,0,2
0,67,canada,1,2,2,2,2,2,2,2,0,1,1,1,A,0,0,2,0,0,0,2
